task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO129212-10,[19],11910.0,12289.0,"[[[11910.0,12289.0]]]",2024-09-05 06:30:00,2024-09-05 12:49:00
WO129213-10,[196],10734.0,10764.0,"[[[10734.0,10764.0]]]",2024-09-04 10:54:00,2024-09-04 11:24:00
WO129214-10,[101],1857.85,1887.79,"[[[1857.85,1887.79]]]",2024-08-29 06:57:51,2024-08-29 07:27:47.4
WO129215-10,[270],1830.0,1860.0,"[[[1830.0,1860.0]]]",2024-08-29 06:30:00,2024-08-29 07:00:00
WO129216-10,[270],1860.0,1890.0,"[[[1860.0,1890.0]]]",2024-08-29 07:00:00,2024-08-29 07:30:00
WO129232-20,[67],10470.0,10734.0,"[[[10470.0,10734.0]]]",2024-09-04 06:30:00,2024-09-04 10:54:00
WO129237-10,[159],450.0,480.0,"[[[450.0,480.0]]]",2024-08-28 07:30:00,2024-08-28 08:00:00
WO129238-10,[159],2059.0,2313.0,"[[[2059.0,2313.0]]]",2024-08-29 10:19:00,2024-08-29 14:33:00
WO129248-10,[62],10950.0,10980.0,"[[[10950.0,10980.0]]]",2024-09-04 14:30:00,2024-09-04 15:00:00
WO129249-10,[159],480.0,510.0,"[[[480.0,510.0]]]",2024-08-28 08:00:00,2024-08-28 08:30:00
WO129272-20,[15],1865.0,1925.0,"[[[1865.0,1925.0]]]",2024-08-29 07:05:00,2024-08-29 08:05:00
WO129275-20,[15],390.0,670.0,"[[[390.0,670.0]]]",2024-08-28 06:30:00,2024-08-28 11:10:00
WO129283-10,[106],10920.0,10950.0,"[[[10920.0,10950.0]]]",2024-09-04 14:00:00,2024-09-04 14:30:00
WO129501-10,[66],13350.0,20955.0,"[[[13350.0,13665.0],[17670.0,18195.0],[19110.0,19635.0],[20550.0,20955.0]]]",2024-09-06 06:30:00,2024-09-11 13:15:00
WO129501-20,[114],20955.0,21055.0,"[[[20955.0,21055.0]]]",2024-09-11 13:15:00,2024-09-11 14:55:00
WO129501-30,[114],21055.0,21155.0,"[[[21055.0,21155.0]]]",2024-09-11 14:55:00,2024-09-11 16:35:00
WO129517-10,[162],40735.0,41119.0,"[[[40735.0,41119.0]]]",2024-09-25 06:55:00,2024-09-25 13:19:00
WO129517-20,[68],42150.0,48096.0,"[[[42150.0,42675.0],[43590.0,43905.0],[47910.0,48096.0]]]",2024-09-26 06:30:00,2024-09-30 09:36:00
WO129517-30,[191],48357.0,48387.0,"[[[48357.0,48387.0]]]",2024-09-30 13:57:00,2024-09-30 14:27:00
WO129517-40,[93],138780.0,138810.0,"[[[138780.0,138810.0]]]",2024-12-02 09:00:00,2024-12-02 09:30:00
WO129527-10,[270],2100.0,2130.0,"[[[2100.0,2130.0]]]",2024-08-29 11:00:00,2024-08-29 11:30:00
WO129530-10,[270],2220.0,2250.0,"[[[2220.0,2250.0]]]",2024-08-29 13:00:00,2024-08-29 13:30:00
WO129531-10,[270],1980.0,2010.0,"[[[1980.0,2010.0]]]",2024-08-29 09:00:00,2024-08-29 09:30:00
